DHT-ST3;;;
Kommentar einfügen;;;
Date and Time;Batch Age;I: TempK;I: Druck X
DDD MMM D HH:MM:SS JJJJ;h;°C;mbar
Fri Sep 30 11:59:40 2016;0,220833;32,5;3,54004
Fri Sep 30 11:59:45 2016;0,222222;32,4;3,23486
Fri Sep 30 11:59:50 2016;0,223611;32,3;3,99804
Fri Sep 30 11:59:55 2016;225;32,1;3,84521
Fri Sep 30 12:00:00 2016;0,226389;32;2,7771
Fri Sep 30 12:00:05 2016;0,227778;31,9;4,15063
Fri Sep 30 12:00:10 2016;0,229167;31,8;3,69263
Fri Sep 30 12:00:15 2016;0,230556;31,7;3,23486
Fri Sep 30 12:00:20 2016;0,231944;31,6;0,946045
Fri Sep 30 12:00:25 2016;0,233333;31,4;3,23486
Fri Sep 30 12:00:30 2016;0,234722;31,3;2,31934
Fri Sep 30 12:00:35 2016;0,236111;31,2;0,793457
Fri Sep 30 12:00:40 2016;0,2375;31,1;3,69263
Fri Sep 30 12:00:45 2016;0,238889;31,1;0,640869
Fri Sep 30 12:00:50 2016;0,240278;30,9;2,47192
Fri Sep 30 12:00:55 2016;0,241667;30,8;1,70898
Fri Sep 30 12:01:00 2016;0,243056;30,7;3,69263
Fri Sep 30 12:01:05 2016;0,244444;30,5;3,69263
Fri Sep 30 12:01:10 2016;0,245833;30,4;2,62451
Fri Sep 30 12:01:15 2016;0,247222;30,3;2,47192
Fri Sep 30 12:01:20 2016;0,248611;30,3;3,23486
Fri Sep 30 12:01:25 2016;0,25;30,1;1,09863
Fri Sep 30 12:01:30 2016;0,251389;30;2,31934
Fri Sep 30 12:01:35 2016;0,252778;29,9;3,99804
Fri Sep 30 12:01:40 2016;0,254167;29,8;3,38745
Fri Sep 30 12:01:45 2016;0,255556;29,7;3,69263
Fri Sep 30 12:01:50 2016;0,256944;29,6;3,84521
Fri Sep 30 12:01:55 2016;0,258333;29,4;3,99804
Fri Sep 30 12:02:00 2016;0,259722;29,3;4,30322
Fri Sep 30 12:02:05 2016;0,261111;29,2;2,01416
Fri Sep 30 12:02:10 2016;0,2625;29,1;4,76098
Fri Sep 30 12:02:15 2016;0,263889;29;3,69263
Fri Sep 30 12:02:20 2016;0,265278;28,9;4,76098
Fri Sep 30 12:02:25 2016;0,266667;28,8;3,99804
Fri Sep 30 12:02:30 2016;0,268056;28,7;3,08228
Fri Sep 30 12:02:35 2016;0,269444;28,6;3,54004
Fri Sep 30 12:02:40 2016;0,270833;28,5;3,54004
Fri Sep 30 12:02:45 2016;0,272222;28,4;4,15063
Fri Sep 30 12:02:50 2016;0,273611;28,3;3,99804
Fri Sep 30 12:02:55 2016;275;28,2;3,38745
Fri Sep 30 12:03:00 2016;0,276389;28,1;5,37133
Fri Sep 30 12:03:05 2016;0,277778;28;2,16675
Fri Sep 30 12:03:10 2016;0,279167;28;2,16675
Fri Sep 30 12:03:15 2016;0,280556;27,9;2,47192
Fri Sep 30 12:03:20 2016;0,281944;27,8;0,335693
Fri Sep 30 12:03:25 2016;0,283333;27,7;2,62451
Fri Sep 30 12:03:30 2016;0,284722;27,6;1,86157
Fri Sep 30 12:03:35 2016;0,286111;27,5;2,7771
Fri Sep 30 12:03:40 2016;0,2875;27,4;1,25122
Fri Sep 30 12:03:45 2016;0,288889;27,3;3,38745
Fri Sep 30 12:03:50 2016;0,290278;27,3;4,91357
Fri Sep 30 12:03:55 2016;0,291667;27,2;3,69263
Fri Sep 30 12:04:00 2016;0,293056;27,2;3,69263
Fri Sep 30 12:04:05 2016;0,294444;27,1;4,4558
Fri Sep 30 12:04:10 2016;0,295833;27;1,86157
Fri Sep 30 12:04:15 2016;0,297222;26,9;2,62451
Fri Sep 30 12:04:20 2016;0,298611;26,9;3,99804
Fri Sep 30 12:04:25 2016;0,3;26,8;2,16675
Fri Sep 30 12:04:30 2016;0,301389;26,7;2,16675
Fri Sep 30 12:04:35 2016;0,302778;26,6;0,793457
Fri Sep 30 12:04:40 2016;0,304167;26,5;4,91357
Fri Sep 30 12:04:45 2016;0,305556;26,5;3,38745
Fri Sep 30 12:04:50 2016;0,306944;26,4;2,47192
Fri Sep 30 12:04:55 2016;0,308333;26,4;2,92969
Fri Sep 30 12:05:00 2016;0,309722;26,4;2,01416
Fri Sep 30 12:05:05 2016;0,311111;26,3;1,86157
Fri Sep 30 12:05:10 2016;0,3125;26,2;1,70898
Fri Sep 30 12:05:15 2016;0,313889;26,2;4,15063
Fri Sep 30 12:05:20 2016;0,315278;26,1;4,4558
Fri Sep 30 12:05:25 2016;0,316667;26;3,23486
Fri Sep 30 12:05:30 2016;0,318056;26;5,06616
Fri Sep 30 12:05:35 2016;0,319444;25,9;2,92969
Fri Sep 30 12:05:40 2016;0,320833;25,9;4,30322
Fri Sep 30 12:05:45 2016;0,322222;25,8;3,54004
Fri Sep 30 12:05:50 2016;0,323611;25,7;2,7771
Fri Sep 30 12:05:55 2016;325;25,7;5,06616
Fri Sep 30 12:06:00 2016;0,326389;25,6;2,31934
Fri Sep 30 12:06:05 2016;0,327778;25,6;3,38745
Fri Sep 30 12:06:10 2016;0,329167;25,6;3,99804
Fri Sep 30 12:06:15 2016;0,330556;25,5;4,15063
Fri Sep 30 12:06:20 2016;0,331944;25,5;5,06616
Fri Sep 30 12:06:25 2016;0,333333;25,5;4,91357
Fri Sep 30 12:06:30 2016;0,334722;25,4;5,37133
Fri Sep 30 12:06:35 2016;0,336111;25,4;4,15063
Fri Sep 30 12:06:40 2016;0,3375;25,3;3,54004
Fri Sep 30 12:06:45 2016;0,338889;25,3;3,69263
Fri Sep 30 12:06:50 2016;0,340278;25,2;4,60839
Fri Sep 30 12:06:55 2016;0,341667;25,2;4,91357
Fri Sep 30 12:07:00 2016;0,343056;25,1;4,91357
Fri Sep 30 12:07:05 2016;0,344444;25,1;4,76098
Fri Sep 30 12:07:10 2016;0,345833;25,1;4,76098
Fri Sep 30 12:07:15 2016;0,347222;25;5,21874
Fri Sep 30 12:07:20 2016;0,348611;25;5,8291
Fri Sep 30 12:07:25 2016;0,35;24,9;4,4558
Fri Sep 30 12:07:30 2016;0,351389;24,9;4,4558
Fri Sep 30 12:07:35 2016;0,352778;24,9;2,92969
Fri Sep 30 12:07:40 2016;0,354167;24,8;5,98168
Fri Sep 30 12:07:45 2016;0,355556;24,8;5,8291
Fri Sep 30 12:07:50 2016;0,356944;24,8;4,91357
Fri Sep 30 12:07:55 2016;0,358333;24,8;5,21874
Fri Sep 30 12:08:00 2016;0,359722;24,8;3,54004
Fri Sep 30 12:08:05 2016;0,361111;24,8;5,21874
Fri Sep 30 12:08:10 2016;0,3625;24,8;3,69263
Fri Sep 30 12:08:15 2016;0,363889;24,7;3,99804
Fri Sep 30 12:08:20 2016;0,365278;24,7;4,15063
Fri Sep 30 12:08:25 2016;0,366667;24,7;4,76098
Fri Sep 30 12:08:30 2016;0,368056;24,7;4,60839
Fri Sep 30 12:08:35 2016;0,369444;24,6;4,15063
Fri Sep 30 12:08:40 2016;0,370833;24,6;5,21874
Fri Sep 30 12:08:45 2016;0,372222;24,6;4,15063
Fri Sep 30 12:08:50 2016;0,373611;24,6;3,84521
Fri Sep 30 12:08:55 2016;375;24,6;3,69263
Fri Sep 30 12:09:00 2016;0,376389;24,5;4,60839
Fri Sep 30 12:09:05 2016;0,377778;24,5;3,23486
Fri Sep 30 12:09:10 2016;0,379167;24,5;4,76098
Fri Sep 30 12:09:15 2016;0,380556;24,5;3,54004
Fri Sep 30 12:09:20 2016;0,381944;24,5;1,5564
Fri Sep 30 12:09:25 2016;0,383333;24,5;2,62451
Fri Sep 30 12:09:30 2016;0,384722;24,4;4,76098
Fri Sep 30 12:09:35 2016;0,386111;24,4;4,60839
Fri Sep 30 12:09:40 2016;0,3875;24,4;4,91357
Fri Sep 30 12:09:45 2016;0,388889;24,4;5,21874
Fri Sep 30 12:09:50 2016;0,390278;24,4;5,06616
Fri Sep 30 12:09:55 2016;0,391667;24,4;4,60839
Fri Sep 30 12:10:00 2016;0,393056;24,4;4,60839
Fri Sep 30 12:10:05 2016;0,394444;24,4;4,4558
Fri Sep 30 12:10:10 2016;0,395833;24,4;5,21874
Fri Sep 30 12:10:15 2016;0,397222;24,4;4,76098
Fri Sep 30 12:10:20 2016;0,398611;24,4;2,62451
Fri Sep 30 12:10:25 2016;0,4;24,4;3,08228
Fri Sep 30 12:10:30 2016;0,401389;24,4;4,15063
Fri Sep 30 12:10:35 2016;0,402778;24,4;5,21874
Fri Sep 30 12:10:40 2016;0,404167;24,4;3,23486
Fri Sep 30 12:10:45 2016;0,405556;24,5;3,54004
Fri Sep 30 12:10:50 2016;0,406944;24,5;2,7771
Fri Sep 30 12:10:55 2016;0,408333;24,5;3,84521
Fri Sep 30 12:11:00 2016;0,409722;24,5;3,69263
Fri Sep 30 12:11:05 2016;0,411111;24,5;2,62451
Fri Sep 30 12:11:10 2016;0,4125;24,5;2,47192
Fri Sep 30 12:11:15 2016;0,413889;24,5;3,99804
Fri Sep 30 12:11:20 2016;0,415278;24,5;3,54004
Fri Sep 30 12:11:25 2016;0,416667;24,5;2,7771
Fri Sep 30 12:11:30 2016;0,418056;24,5;5,52392
Fri Sep 30 12:11:35 2016;0,419444;24,5;4,30322
Fri Sep 30 12:11:40 2016;0,420833;24,5;3,84521
Fri Sep 30 12:11:45 2016;0,422222;24,5;3,99804
Fri Sep 30 12:11:50 2016;0,423611;24,5;5,21874
Fri Sep 30 12:11:55 2016;425;24,5;5,67651
Fri Sep 30 12:12:00 2016;0,426389;24,5;5,67651
Fri Sep 30 12:12:05 2016;0,427778;24,5;4,91357
Fri Sep 30 12:12:10 2016;0,429167;24,5;3,54004
Fri Sep 30 12:12:15 2016;0,430556;24,6;4,91357
Fri Sep 30 12:12:20 2016;0,431944;24,6;2,7771
Fri Sep 30 12:12:25 2016;0,433333;24,6;2,62451
Fri Sep 30 12:12:30 2016;0,434722;24,6;3,69263
Fri Sep 30 12:12:35 2016;0,436111;24,6;2,92969
Fri Sep 30 12:12:40 2016;0,4375;24,6;3,38745
Fri Sep 30 12:12:45 2016;0,438889;24,6;3,08228
Fri Sep 30 12:12:50 2016;0,440278;24,6;4,4558
Fri Sep 30 12:12:55 2016;0,441667;24,6;5,21874
Fri Sep 30 12:13:00 2016;0,443056;24,6;2,31934
Fri Sep 30 12:13:05 2016;0,444444;24,6;4,91357
Fri Sep 30 12:13:10 2016;0,445833;24,6;4,76098
Fri Sep 30 12:13:15 2016;0,447222;24,6;5,21874
Fri Sep 30 12:13:20 2016;0,448611;24,6;4,76098
Fri Sep 30 12:13:25 2016;0,45;24,6;4,76098
Fri Sep 30 12:13:30 2016;0,451389;24,6;4,15063
Fri Sep 30 12:13:35 2016;0,452778;24,6;4,60839
Fri Sep 30 12:13:40 2016;0,454167;24,6;4,76098
Fri Sep 30 12:13:45 2016;0,455556;24,7;5,21874
Fri Sep 30 12:13:50 2016;0,456944;24,7;5,8291
Fri Sep 30 12:13:55 2016;0,458333;24,7;4,4558
Fri Sep 30 12:14:00 2016;0,459722;24,7;3,99804
Fri Sep 30 12:14:05 2016;0,461111;24,7;5,37133
Fri Sep 30 12:14:10 2016;0,4625;24,7;5,06616
Fri Sep 30 12:14:15 2016;0,463889;24,7;5,67651
Fri Sep 30 12:14:20 2016;0,465278;24,7;5,37133
Fri Sep 30 12:14:25 2016;0,466667;24,7;5,67651
Fri Sep 30 12:14:30 2016;0,468056;24,7;4,60839
Fri Sep 30 12:14:35 2016;0,469444;24,7;4,15063
Fri Sep 30 12:14:40 2016;0,470833;24,7;3,08228
Fri Sep 30 12:14:45 2016;0,472222;24,7;4,4558
Fri Sep 30 12:14:50 2016;0,473611;24,7;5,06616
Fri Sep 30 12:14:55 2016;475;24,7;5,06616
Fri Sep 30 12:15:00 2016;0,476389;24,7;2,7771
Fri Sep 30 12:15:05 2016;0,477778;24,7;4,30322
Fri Sep 30 12:15:10 2016;0,479167;24,7;4,91357
Fri Sep 30 12:15:15 2016;0,480556;24,7;5,06616
Fri Sep 30 12:15:20 2016;0,481944;24,7;5,06616
Fri Sep 30 12:15:25 2016;0,483333;24,8;4,76098
Fri Sep 30 12:15:30 2016;0,484722;24,8;5,37133
Fri Sep 30 12:15:35 2016;0,486111;24,8;5,8291
Fri Sep 30 12:15:40 2016;0,4875;24,8;4,60839
Fri Sep 30 12:15:45 2016;0,488889;24,8;4,91357
Fri Sep 30 12:15:50 2016;0,490278;24,8;5,21874
Fri Sep 30 12:15:55 2016;0,491667;24,8;5,06616
Fri Sep 30 12:16:00 2016;0,493056;24,8;5,06616
Fri Sep 30 12:16:05 2016;0,494444;24,8;5,52392
Fri Sep 30 12:16:10 2016;0,495833;24,8;5,67651
Fri Sep 30 12:16:15 2016;0,497222;24,8;5,06616
Fri Sep 30 12:16:20 2016;0,498611;24,8;2,92969
Fri Sep 30 12:16:25 2016;0,5;24,8;5,52392
Fri Sep 30 12:16:30 2016;0,501389;24,8;5,21874
Fri Sep 30 12:16:35 2016;0,502778;24,8;5,21874
Fri Sep 30 12:16:40 2016;0,504167;24,8;5,37133
Fri Sep 30 12:16:45 2016;0,505556;24,8;4,91357
Fri Sep 30 12:16:50 2016;0,506944;24,8;3,99804
Fri Sep 30 12:16:55 2016;0,508333;24,8;4,4558
Fri Sep 30 12:17:00 2016;0,509722;24,8;3,08228
Fri Sep 30 12:17:05 2016;0,511111;24,8;2,92969
Fri Sep 30 12:17:10 2016;0,5125;24,8;2,62451
Fri Sep 30 12:17:15 2016;0,513889;24,8;2,47192
Fri Sep 30 12:17:20 2016;0,515278;24,8;2,31934
Fri Sep 30 12:17:25 2016;0,516667;24,8;3,38745
Fri Sep 30 12:17:30 2016;0,518056;24,8;3,69263
Fri Sep 30 12:17:35 2016;0,519444;24,8;3,99804
Fri Sep 30 12:17:40 2016;0,520833;24,8;3,08228
Fri Sep 30 12:17:45 2016;0,522222;24,8;3,99804
Fri Sep 30 12:17:50 2016;0,523611;24,8;4,91357
Fri Sep 30 12:17:55 2016;525;24,8;3,54004
Fri Sep 30 12:18:00 2016;0,526389;24,8;4,15063
Fri Sep 30 12:18:05 2016;0,527778;24,8;2,92969
Fri Sep 30 12:18:10 2016;0,529167;24,8;3,69263
Fri Sep 30 12:18:15 2016;0,530556;24,8;2,31934
Fri Sep 30 12:18:20 2016;0,531944;24,8;3,08228
Fri Sep 30 12:18:25 2016;0,533333;24,8;4,30322
