DHT_ST4;;;
Kommentar einf�gen;;;
Date and Time;Batch Age;I: TempK;I: Druck X
DDD MMM D HH:MM:SS JJJJ;h;ﾰC;mbar
Fri Sep 30 02:09:23 2016;0,580556;23;1211,46
Fri Sep 30 02:09:28 2016;0,581944;25;1211,46
Fri Sep 30 02:09:33 2016;0,583333;27;1210,24
Fri Sep 30 02:09:38 2016;0,584722;27;1210,85
Fri Sep 30 02:09:43 2016;0,586111;27;1209,17
Fri Sep 30 02:09:48 2016;0,5875;23;1208,56
Fri Sep 30 02:09:53 2016;0,588889;25;1211,31
Fri Sep 30 02:09:58 2016;0,590278;26;1211,62
Fri Sep 30 02:10:03 2016;0,591667;23;1211,16
Fri Sep 30 02:10:08 2016;0,593056;26;1211,62
Fri Sep 30 02:10:13 2016;0,594444;23;1211,46
Fri Sep 30 02:10:18 2016;0,595833;25;1211,92
Fri Sep 30 02:10:23 2016;0,597222;25;1211,62
Fri Sep 30 02:10:28 2016;0,598611;25;1210,85
Fri Sep 30 02:10:33 2016;0,6;26;1211,16
Fri Sep 30 02:10:38 2016;0,601389;27;1211,31
Fri Sep 30 02:10:43 2016;0,602778;26;1211,31
Fri Sep 30 02:10:48 2016;0,604167;24;1211,62
Fri Sep 30 02:10:53 2016;0,605556;23;1211,46
Fri Sep 30 02:10:58 2016;0,606944;23;1210,39
Fri Sep 30 02:11:03 2016;0,608333;25;1211,62
Fri Sep 30 02:11:08 2016;0,609722;23;1211,92
Fri Sep 30 02:11:13 2016;0,611111;23;1211,16
Fri Sep 30 02:11:18 2016;0,6125;24;1211,01
Fri Sep 30 02:11:23 2016;0,613889;24;1211,31
Fri Sep 30 02:11:28 2016;0,615278;27;1210,7
Fri Sep 30 02:11:33 2016;0,616667;25;1211,31
Fri Sep 30 02:11:38 2016;0,618056;25;1211,62
Fri Sep 30 02:11:43 2016;0,619444;24;1211,31
Fri Sep 30 02:11:48 2016;0,620833;25;1211,62
Fri Sep 30 02:11:53 2016;0,622222;26;1211,92
Fri Sep 30 02:11:58 2016;0,623611;25;1211,46
Fri Sep 30 02:12:03 2016;0,625;27;1211,31
Fri Sep 30 02:12:08 2016;0,626389;25;1211,46
Fri Sep 30 02:12:13 2016;0,627778;24;1210,39
Fri Sep 30 02:12:18 2016;0,629167;27;1211,31
Fri Sep 30 02:12:23 2016;0,630556;25;1210,24
Fri Sep 30 02:12:28 2016;0,631944;26;1210,09
Fri Sep 30 02:12:33 2016;0,633333;25;1210,7
Fri Sep 30 02:12:38 2016;0,634722;26;1211,46
Fri Sep 30 02:12:43 2016;0,636111;24;1210,55
